"Work_Title","Page_Title","Page_Position","Page_URL","Subject","Text","Category","Category","Category"
"Geek Weekly #1","GW#1 - p4 (3)","4","http://localhost:3000/display/display_page?page_id=2759","The Inhalants","Inhalants","Bands"
"Geek Weekly #1","GW#1 - p4 (3)","4","http://localhost:3000/display/display_page?page_id=2759","Dana Barclay","Dana","Musicians","People"
"Geek Weekly #1","GW#1 - p4 (3)","4","http://localhost:3000/display/display_page?page_id=2759","The Hormones","Hormone"
"Geek Weekly #1","GW#1 - p4 (3)","4","http://localhost:3000/display/display_page?page_id=2759","The Drags","Drags","Bands"
"Geek Weekly #1","GW#1 - p4 (3)","4","http://localhost:3000/display/display_page?page_id=2759","CJ Stritzel","CJ","Musicians","People"
"Geek Weekly #1","GW#1 - p4 (3)","4","http://localhost:3000/display/display_page?page_id=2759","The Fells","Fells","Bands"
"Geek Weekly #1","GW#1 - p4 (3)","4","http://localhost:3000/display/display_page?page_id=2759","Heath Heemsbergen","Heath","Musicians","People"
"Geek Weekly #1","GW#1 - p4 (3)","4","http://localhost:3000/display/display_page?page_id=2759","CJ Stritzel","CJ","Musicians","People"
"Geek Weekly #1","GW#1 - p4 (3)","4","http://localhost:3000/display/display_page?page_id=2759","Johnny Cash","Johnny Cash","Musicians","People"
"Geek Weekly #1","GW#1 - p4 (3)","4","http://localhost:3000/display/display_page?page_id=2759","Bjork","Bjork","Actors/Actresses","Artists","Movies","Musicians","People"
"Geek Weekly #1","GW#1 - p5 (CHEPPO)","5","http://localhost:3000/display/display_page?page_id=2760","Chepo Pena","CHEPPO","People"
"Geek Weekly #1","GW#1 - p5 (CHEPPO)","5","http://localhost:3000/display/display_page?page_id=2760","Carole Feray","mom","Actors/Actresses","People"
"Geek Weekly #1","GW#1 - p5 (CHEPPO)","5","http://localhost:3000/display/display_page?page_id=2760","Benjamin Hecker","brother","Musicians","People"
"Geek Weekly #1","GW#1 - p5 (CHEPPO)","5","http://localhost:3000/display/display_page?page_id=2760","Chicago, IL","Chicago","Places"
"Geek Weekly #1","GW#1 - p5 (CHEPPO)","5","http://localhost:3000/display/display_page?page_id=2760","Austin, TX","this town","Places"
"Geek Weekly #1","GW#1 - p5 (CHEPPO)","5","http://localhost:3000/display/display_page?page_id=2760","Fag Rag","Fag Rag","Publications"
"Geek Weekly #1","GW#1 - p5 (CHEPPO)","5","http://localhost:3000/display/display_page?page_id=2760","Austin, TX","this town","Places"
"Geek Weekly #1","GW#1 - p5 (CHEPPO)","5","http://localhost:3000/display/display_page?page_id=2760","The Grifters","the Grifters","Bands"
"Geek Weekly #1","GW#1 - p5 (CHEPPO)","5","http://localhost:3000/display/display_page?page_id=2760","Susan Shepard","Susan","Actors/Actresses","People","Writers"
"Geek Weekly #1","GW#1 - p5 (CHEPPO)","5","http://localhost:3000/display/display_page?page_id=2760","Sound Exchange (record store)","Sound Ex","Businesses","Record Stores"
"Geek Weekly #1","GW#1 - p6 (5)","6","http://localhost:3000/display/display_page?page_id=2761","Nuclear War (card game)","NUCLEAR WAR","Things"
"Geek Weekly #1","GW#1 - p6 (5)","6","http://localhost:3000/display/display_page?page_id=2761","Nuclear War (card game)","Nuclear War","Things"
"Geek Weekly #1","GW#1 - p6 (5)","6","http://localhost:3000/display/display_page?page_id=2761","Nuclear Escalation (card game)","Nucler Escalation","Things"
"Geek Weekly #1","GW#1 - p6 (5)","6","http://localhost:3000/display/display_page?page_id=2761","Nuclear Proliferation (card game)","Nuclear Proliferation","Things"
"Geek Weekly #1","GW#1 - p6 (5)","6","http://localhost:3000/display/display_page?page_id=2761","Emo's","Emo's","Venues"
"Geek Weekly #1","GW#1 - p7 (6)","7","http://localhost:3000/display/display_page?page_id=2762","Amtrak","Amtrak","Businesses"
"Geek Weekly #1","GW#1 - p7 (6)","7","http://localhost:3000/display/display_page?page_id=2762","Carole Feray","my mom","Actors/Actresses","People"
"Geek Weekly #1","GW#1 - p7 (6)","7","http://localhost:3000/display/display_page?page_id=2762","Nuclear War (card game)","Nuclear War","Things"
"Geek Weekly #1","GW#1 - p8 (7)","8","http://localhost:3000/display/display_page?page_id=2763","The Fells","the Fells","Bands"
"Geek Weekly #1","GW#1 - p8 (7)","8","http://localhost:3000/display/display_page?page_id=2763","The Drags","Drags","Bands"
"Geek Weekly #1","GW#1 - p8 (7)","8","http://localhost:3000/display/display_page?page_id=2763","Needle Express","NEEDLE EXPRESS","Businesses"
"Geek Weekly #1","GW#1 - p8 (7)","8","http://localhost:3000/display/display_page?page_id=2763","Rockville, MD","Rockville, MD","Places"
"Geek Weekly #1","GW#1 - p8 (7)","8","http://localhost:3000/display/display_page?page_id=2763","Riders in the Sky","RIDERS IN THE SKY","Actors/Actresses","Bands"
"Geek Weekly #1","GW#1 - p8 (7)","8","http://localhost:3000/display/display_page?page_id=2763","International Buckaroo Club","INTERNATIONAL BUCKAROO CLUB","Organizations"
"Geek Weekly #1","GW#1 - p8 (7)","8","http://localhost:3000/display/display_page?page_id=2763","Nashville, TN","NASHVILLE, TN","Places"
"Geek Weekly #1","GW#1 - p8 (7)","8","http://localhost:3000/display/display_page?page_id=2763","Estrus Records","ESTRUS RECORDS","Record Labels"
"Geek Weekly #1","GW#1 - p8 (7)","8","http://localhost:3000/display/display_page?page_id=2763","Bellingham, WA","Bellingham, WA","Cities"
"Geek Weekly #1","GW#1 - p8 (7)","8","http://localhost:3000/display/display_page?page_id=2763","RRRecords","RRRecords","Record Labels"
"Geek Weekly #1","GW#1 - p8 (7)","8","http://localhost:3000/display/display_page?page_id=2763","Lowell, MA","Lowell, MA","Cities"
"Geek Weekly #1","GW#1 - p8 (7)","8","http://localhost:3000/display/display_page?page_id=2763","BUST (magazine)","BUST","Publications"
"Geek Weekly #1","GW#1 - p8 (7)","8","http://localhost:3000/display/display_page?page_id=2763","New York, NY","New York, NY","Places"
"Geek Weekly #1","GW#1 - p8 (7)","8","http://localhost:3000/display/display_page?page_id=2763","Grand Royale (magazine)","GRAND ROYALE","Publications"
"Geek Weekly #1","GW#1 - p8 (7)","8","http://localhost:3000/display/display_page?page_id=2763","Los Angeles, CA","Los Angeles, CA","Places"
"Geek Weekly #1","GW#1 - p8 (7)","8","http://localhost:3000/display/display_page?page_id=2763","Yellow Submarine (zine)","YELLOW SUBMARINE/UNCLE JUNKY","Publications"
"Geek Weekly #1","GW#1 - p8 (7)","8","http://localhost:3000/display/display_page?page_id=2763","Elmira, NY","Elmira, NY","Places"
"Geek Weekly #1","GW#1 - p9 (eight)","9","http://localhost:3000/display/display_page?page_id=2764","CHICAGO","Chi-town","Places"
"Geek Weekly #1","GW#1 - p9 (eight)","9","http://localhost:3000/display/display_page?page_id=2764","CHICAGO","Chicago","Places"
